Formas de Pago,Matrícula al día,Becario,Situación laboral,Facultad,Orden de solicitud,Modo de solicitud,Procedencia,Vivienda,Necesidades educativas especiales,Trasladado(a),Género,Crianza Adventista,Estado civil,Titulación de la madre,Titulación del padre,Ocupación de la madre,Ocupación del padre,Promedio ponderado del semestre,Asistencia (%),Desarrollo de Tareas (%),tasa_aprobacion,tasa_evaluacion,carga_aprobada,backlog_eval,backlog_aprob,Deuda,deuda_neta,conflicto_trabajo_estudio,trabajo_ordinal,Edad,¿La distancia y la separación de mi familia para estudiar en la universidad me hacen considerar abandonar mis estudios.?,¿La incompatibilidad entre mis horarios de trabajo y las clases me llevaría a abandonar la carrera.?,¿La calidad de la enseñanza y las metodologías docentes me desmotivan al punto de pensar en abandonar?,"¿La falta de recursos económicos, becas o facilidades de pago me haría interrumpir mis estudios?","¿Me siento poco integrado/a con mis compañeros y actividades universitarias, lo que me hace pensar en abandonar?","¿El estrés, la ansiedad u otros problemas de bienestar asociados a la vida universitaria me hacen considerar abandonar?",¿La falta de seguridad dentro o cerca del campus influye en mi intención de abandonar?,¿La retroalimentación tardía o poco clara de los docentes afecta mi continuidad y me hace pensar en abandonar?,¿La carrera/facultad donde estoy matriculado no cumple mis expectativas y me hace pensar en retirarme?,¿La dificultad de los cursos supera mis capacidades actuales y me lleva a considerar dejar la universidad?,¿Cuento con poco apoyo familiar para continuar mis estudios y eso me hace considerar el abandono?,"¿Me cuesta adaptarme a la cultura y normas institucionales, lo que afecta mi permanencia?","¿No veo una trayectoria profesional clara a partir de mi carrera actual, por lo que consideraría retirarme?",Condición Final,target_deserto
Armadas,Sí,No,No Trabaja,Teología,Segunda Opción,Ingreso directo,Provincia,Residencia,No,Sí,M,No,Soltero,Técnica,Secundaria,Ama de casa / labores del hogar,Comerciantes / vendedores,16.64,84.0,83.9,0.8,1.0,0.8,0,1,2735.37,2343.24,0,0,20,5,1,5,5,2,3,5,2,3,3,4,4,2,Graduado,0
Armadas,Sí,No,Tiempo completo,Ciencias de la Salud,Segunda Opción,Examen de admisión ordinario,Lima,Alquila cuarto,No,No,H,Sí,Soltero,Primaria,Primaria,Obreros / trabajadores manuales,Desempleado / sin ocupación,13.76,80.5,69.6,0.8,0.8333333333333334,0.6666666666666666,1,1,3833.77,3471.58,10,2,28,2,5,3,5,3,2,1,1,5,2,3,5,5,Graduado,0
Armadas,Sí,No,Tiempo completo,Ciencias Humanas y Educación,Primera Opción,Examen de admisión ordinario,Lima,Familiares,No,No,H,Sí,Soltero,Técnica,Técnica,Profesionales y técnicos,Obreros / trabajadores manuales,9.95,84.0,82.5,0.42857142857142855,0.875,0.375,1,4,1080.84,559.9499999999999,2,2,25,5,1,5,2,1,3,3,4,5,5,1,5,3,Graduado,0
Otros,Sí,Sí,Tiempo completo,Ciencias Empresariales,Primera Opción,Ingreso directo,Provincia,Familiares,No,No,H,Sí,Soltero,Técnica,Educación Superior,Empleados administrativos / de oficina,Profesionales y técnicos,16.08,83.8,83.7,0.6666666666666666,0.75,0.5,1,1,779.52,192.27999999999997,10,2,21,4,5,1,4,3,1,2,2,4,3,1,4,1,Graduado,0
Armadas,No,No,No Trabaja,Ciencias Humanas y Educación,Primera Opción,Examen de admisión ordinario,Lima,Residencia,No,No,H,Sí,Soltero,Secundaria,Educación Superior,Empleados administrativos / de oficina,Obreros / trabajadores manuales,13.08,81.7,100.0,0.5714285714285714,0.875,0.5,1,3,560.9,-152.88,0,0,23,3,1,1,5,5,1,3,2,2,4,5,5,3,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias Empresariales,Tercera Opción,Examen de admisión ordinario,Lima,Familiares,No,No,M,Sí,Soltero,Secundaria,Técnica,Ama de casa / labores del hogar,Agricultores / ganaderos / pescadores,13.98,86.4,86.9,0.7142857142857143,1.0,0.7142857142857143,0,2,1092.29,534.51,0,0,17,1,5,5,3,1,4,1,3,2,5,1,1,1,Graduado,0
Otros,Sí,No,Medio Tiempo,Ciencias Empresariales,Segunda Opción,Examen de admisión ordinario,Provincia,Residencia,No,No,M,Sí,Soltero,Técnica,Secundaria,Ama de casa / labores del hogar,Desempleado / sin ocupación,13.96,87.4,92.9,0.6666666666666666,0.75,0.5,1,1,377.38,45.99000000000001,1,1,18,3,1,5,2,1,1,3,5,2,4,3,5,4,Graduado,0
Contado,Sí,Sí,No Trabaja,Ciencias de la Salud,Segunda Opción,Ingreso por reingreso,Lima,Familiares,Sí,No,H,Sí,Soltero,Primaria,Primaria,Ama de casa / labores del hogar,Profesionales y técnicos,14.93,78.5,73.2,0.6666666666666666,0.75,0.5,1,1,678.02,416.28,0,0,24,2,3,1,1,1,1,5,1,2,2,1,3,2,Graduado,0
Contado,Sí,No,Tiempo completo,Ciencias de la Salud,Primera Opción,Ingreso directo,Lima,Residencia,No,No,M,Sí,Soltero,Secundaria,Secundaria,Agricultores / ganaderos / pescadores,Comerciantes / vendedores,9.38,82.4,60.5,0.5,1.0,0.5,0,4,753.76,-263.38,10,2,27,5,5,5,3,1,5,2,5,1,5,1,4,5,Desertó,1
Contado,Sí,No,No Trabaja,Ciencias Empresariales,Tercera Opción,Ingreso por convenio o beca especial,Lima,Residencia,No,No,M,Sí,Soltero,Técnica,Técnica,Empleados administrativos / de oficina,Obreros / trabajadores manuales,14.54,83.9,71.7,0.6666666666666666,0.8571428571428571,0.5714285714285714,1,2,1514.97,991.03,0,0,26,1,4,5,3,4,4,3,1,4,5,4,2,1,Graduado,0
