Promedio ponderado del semestre,Asistencia (%),Desarrollo de Tareas (%),tasa_aprobacion,tasa_evaluacion,carga_aprobada,backlog_eval,backlog_aprob,Deuda,deuda_neta,conflicto_trabajo_estudio,trabajo_ordinal,Edad,¿La distancia y la separación de mi familia para estudiar en la universidad me hacen considerar abandonar mis estudios.?,¿La incompatibilidad entre mis horarios de trabajo y las clases me llevaría a abandonar la carrera.?,¿La calidad de la enseñanza y las metodologías docentes me desmotivan al punto de pensar en abandonar?,"¿La falta de recursos económicos, becas o facilidades de pago me haría interrumpir mis estudios?","¿Me siento poco integrado/a con mis compañeros y actividades universitarias, lo que me hace pensar en abandonar?","¿El estrés, la ansiedad u otros problemas de bienestar asociados a la vida universitaria me hacen considerar abandonar?",¿La falta de seguridad dentro o cerca del campus influye en mi intención de abandonar?,¿La retroalimentación tardía o poco clara de los docentes afecta mi continuidad y me hace pensar en abandonar?,¿La carrera/facultad donde estoy matriculado no cumple mis expectativas y me hace pensar en retirarme?,¿La dificultad de los cursos supera mis capacidades actuales y me lleva a considerar dejar la universidad?,¿Cuento con poco apoyo familiar para continuar mis estudios y eso me hace considerar el abandono?,"¿Me cuesta adaptarme a la cultura y normas institucionales, lo que afecta mi permanencia?","¿No veo una trayectoria profesional clara a partir de mi carrera actual, por lo que consideraría retirarme?",Condición Final,target_deserto,Formas de Pago_Contado,Formas de Pago_Otros,Matrícula al día_Sí,Becario_Sí,Situación laboral_No Trabaja,Situación laboral_Tiempo completo,Facultad_Ciencias Humanas y Educación,Facultad_Ciencias de la Salud,Facultad_Ingeniería y Arquitectura,Facultad_Teología,Orden de solicitud_Segunda Opción,Orden de solicitud_Tercera Opción,Modo de solicitud_Ingreso directo,Modo de solicitud_Ingreso por convenio o beca especial,Modo de solicitud_Ingreso por reingreso,Modo de solicitud_Ingreso por traslado externo,Modo de solicitud_Ingreso por traslado interno,Procedencia_Lima,Procedencia_Provincia,Vivienda_Familiares,Vivienda_Residencia,Necesidades educativas especiales_Sí,Trasladado(a)_Sí,Género_M,Crianza Adventista_Sí,Estado civil_Soltero,Titulación de la madre_Primaria,Titulación de la madre_Secundaria,Titulación de la madre_Sin estudios,Titulación de la madre_Técnica,Titulación del padre_Primaria,Titulación del padre_Secundaria,Titulación del padre_Sin estudios,Titulación del padre_Técnica,Ocupación de la madre_Ama de casa / labores del hogar,Ocupación de la madre_Comerciantes / vendedores,Ocupación de la madre_Desempleado / sin ocupación,Ocupación de la madre_Empleados administrativos / de oficina,Ocupación de la madre_Militares / policías / fuerzas del orden,Ocupación de la madre_Obreros / trabajadores manuales,Ocupación de la madre_Otros / no especificado,Ocupación de la madre_Profesionales y técnicos,Ocupación de la madre_Servicios personales y domésticos,Ocupación del padre_Ama de casa / labores del hogar,Ocupación del padre_Comerciantes / vendedores,Ocupación del padre_Desempleado / sin ocupación,Ocupación del padre_Empleados administrativos / de oficina,Ocupación del padre_Militares / policías / fuerzas del orden,Ocupación del padre_Obreros / trabajadores manuales,Ocupación del padre_Otros / no especificado,Ocupación del padre_Profesionales y técnicos,Ocupación del padre_Servicios personales y domésticos,Edad_scaled,Promedio ponderado del semestre_scaled,Asistencia (%)_scaled,Desarrollo de Tareas (%)_scaled,Deuda_scaled,deuda_neta_scaled,tasa_aprobacion_scaled,tasa_evaluacion_scaled,carga_aprobada_scaled,backlog_eval_scaled,backlog_aprob_scaled,trabajo_ordinal_scaled,conflicto_trabajo_estudio_scaled
16.64,84.0,83.9,0.8,1.0,0.8,0,1,2735.37,2343.24,0,0,20,5,1,5,5,2,3,5,2,3,3,4,4,2,Graduado,0,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-0.4,0.9486552567237166,-0.06086956521739155,0.3376146788990832,2.1057354946851152,2.030452190354282,0.5333333333333337,0.0,1.0666666666666669,0.0,-0.5,0.0,0.0
13.76,80.5,69.6,0.8,0.8333333333333334,0.6666666666666666,1,1,3833.77,3471.58,10,2,28,2,5,3,5,3,2,1,1,5,2,3,5,5,Graduado,0,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1.2,0.24449877750611249,-0.36521739130434805,-0.7119266055045874,3.2492946455528835,3.132984661535117,0.5333333333333337,-1.0,0.44444444444444436,1.0,-0.5,2.0,2.5
9.95,84.0,82.5,0.42857142857142855,0.875,0.375,1,4,1080.84,559.9499999999999,2,2,25,5,1,5,2,1,3,3,4,5,5,1,5,3,Graduado,0,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.6,-0.6870415647921762,-0.06086956521739155,0.23486238532110112,0.3831818513081592,0.28794981471212583,-0.9523809523809523,-0.7500000000000002,-0.9166666666666664,1.0,1.0,2.0,0.5
16.08,83.8,83.7,0.6666666666666666,0.75,0.5,1,1,779.52,192.27999999999997,10,2,21,4,5,1,4,3,1,2,2,4,3,1,4,1,Graduado,0,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.2,0.811735941320293,-0.07826086956521788,0.32293577981651417,0.0694735088650821,-0.07131079262170746,0.0,-1.5000000000000004,-0.33333333333333315,1.0,-0.5,2.0,2.5
13.08,81.7,100.0,0.5714285714285714,0.875,0.5,1,3,560.9,-152.88,0,0,23,3,1,1,5,5,1,3,2,2,4,5,5,3,Graduado,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2,0.07823960880195606,-0.2608695652173913,1.5192660550458719,-0.15813474091888682,-0.40857625139546083,-0.38095238095238093,-0.7500000000000002,-0.33333333333333315,1.0,0.5,0.0,0.0
13.98,86.4,86.9,0.7142857142857143,1.0,0.7142857142857143,0,2,1092.29,534.51,0,0,17,1,5,5,3,1,4,1,3,2,5,1,1,1,Graduado,0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.0,0.29828850855745737,0.147826086956522,0.5577981651376153,0.39510260174282413,0.26309168146608264,0.1904761904761907,0.0,0.6666666666666669,0.0,0.0,0.0,0.0
13.96,87.4,92.9,0.6666666666666666,0.75,0.5,1,1,377.38,45.99000000000001,1,1,18,3,1,5,2,1,1,3,5,2,4,3,5,4,Graduado,0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.8,0.29339853300733526,0.23478260869565243,0.9981651376146795,-0.34919990421755104,-0.21425483006524776,0.0,-1.5000000000000004,-0.33333333333333315,1.0,-0.5,1.0,0.25
14.93,78.5,73.2,0.6666666666666666,0.75,0.5,1,1,678.02,416.28,0,0,24,2,3,1,1,1,1,5,1,2,2,1,3,2,Graduado,0,True,False,True,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.4,0.530562347188264,-0.5391304347826089,-0.4477064220183482,-0.03619951900552829,0.14756585231200664,0.0,-1.5000000000000004,-0.33333333333333315,1.0,-0.5,0.0,0.0
9.38,82.4,60.5,0.5,1.0,0.5,0,4,753.76,-263.38,10,2,27,5,5,5,3,1,5,2,5,1,5,1,4,5,Desertó,1,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.0,-0.82640586797066,-0.19999999999999976,-1.3798165137614677,0.042654423171023755,-0.5165488820435654,-0.6666666666666665,0.0,-0.33333333333333315,0.0,1.0,2.0,2.5
14.54,83.9,71.7,0.6666666666666666,0.8571428571428571,0.5714285714285714,1,2,1514.97,991.03,0,0,26,1,4,5,3,4,4,3,1,4,5,4,2,1,Graduado,0,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8,0.43520782396088004,-0.0695652173913041,-0.5577981651376143,0.8351604876575986,0.7091701008640253,0.0,-0.8571428571428577,0.0,1.0,0.0,0.0,0.0
